NAMER	GENDER	SOURCES
CARLA	A	[9, 11, 12, 15, 2, 4, 5, 8, 2*, 1, 6, 3, 1*]
ANA ISABEL	F	[1, 2]
ESTHER	F	[12, 15, 2, 4, 5, 19, 2*, 1, 6, 3, 1*]
NOELIA	F	[9, 11, 7, 12, 17, 2, 5, 1, 6, 3, 1*]
VERONICA	F	[9, 11, 7, 12, 17, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
ANGELES	A	[11, 7, 12, 15, 4, 5, 2*, 18, 1, 16, 6, 3, 1*]
NEREA	A	[9, 11, 7, 12, 2, 4, 5, 8, 19, 1, 6, 3, 1*]
CAROLINA	F	[9, 11, 12, 15, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
MARIA VICTORIA	F	[1, 2]
EVA MARIA	F	[1, 2]
INES	F	[9, 11, 7, 12, 15, 2, 4, 5, 19, 18, 1, 16, 6, 3, 18*, 1*]
MIRIAM	F	[9, 11, 12, 2, 4, 5, 8, 1, 6, 3, 1*]
MARIA ROSA	F	[1, 2]
DANIELA	F	[9, 11, 12, 2, 4, 5, 8, 19, 18, 1, 6, 3, 1*]
LORENA	F	[9, 11, 7, 12, 2, 4, 5, 1, 16, 6, 3, 1*]
ANA BELEN	F	[1, 2]
MARIA ELENA	F	[1, 2]
MARIA CONCEPCION	F	[1]
VICTORIA	F	[11, 7, 12, 15, 2, 4, 5, 8, 2*, 18, 1, 16, 6, 3, 1*]
AMPARO	F	[9, 11, 7, 12, 17, 4, 5, 1, 16, 6, 3, 1*]
MARIA ANTONIA	F	[1]
CATALINA	F	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
MARTINA	F	[12, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
LIDIA	F	[9, 11, 12, 15, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
ALEJANDRA	F	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
CELIA	F	[9, 11, 7, 12, 17, 2, 4, 5, 8, 1, 16, 6, 3, 1*]
MARIA NIEVES	F	[1, 4, 5]
CONSUELO	A	[11, 7, 12, 17, 2, 4, 5, 1, 6, 3, 1*]
OLGA	F	[9, 11, 7, 12, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
AINHOA	F	[10, 11, 7, 12, 2, 4, 5, 8, 19, 1, 6, 3, 1*]
FATIMA	F	[11, 5, 2*, 1, 3, 9, 7, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
GLORIA	F	[9, 11, 7, 12, 2, 4, 5, 8, 1, 16, 6, 3, 1*]
EMILIA	F	[9, 11, 12, 15, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
MARIA SOLEDAD	F	[1]
CLARA	F	[9, 11, 7, 12, 15, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
MARIA CRISTINA	F	[1, 7, 2]
LUISA	F	[17, 19, 5, 2*, 7*, 1, 16, 3, 9, 12, 15, 4, 18, 6, 2, 1*]
BELEN	F	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
MAR	A	[9, 11, 2, 4, 5, 8, 1, 6, 3, 1*]
NIEVES	A	[11, 12, 15, 17, 2, 5, 5*, 18, 1, 4*, 16, 6, 3, 1*]
LOURDES	F	[11, 7, 12, 15, 2, 4, 5, 5*, 18, 1, 4*, 6, 3, 1*]
SOLEDAD	F	[11, 12, 17, 2, 4, 5, 5*, 1, 16, 6, 3, 1*]
LUZ	F	[11, 17, 5, 1, 16, 3, 9, 7, 12, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
BEGOÑA	F	[10, 11, 19, 5, 1, 3, 9, 7, 12, 6*, 4, 5*, 4*, 6, 2, 1*]
ASUNCION	A	[9, 11, 7, 12, 15, 17, 4, 5, 18, 1, 16, 6, 3, 1*]
BLANCA	F	[11, 7, 12, 17, 2, 4, 5, 8, 2*, 1, 6, 3, 1*]
ESPERANZA	F	[9, 11, 7, 12, 17, 2, 4, 5, 18, 1, 6, 3, 1*]
MILAGROS	A	[11, 12, 17, 6*, 4, 5, 18, 1, 6, 3, 1*]
AURORA	F	[9, 11, 7, 12, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
MAGDALENA	F	[11, 17, 19, 5, 1, 16, 12*, 3, 7, 12, 15, 4, 8, 5*, 18, 4*, 6, 2, 1*]
ANNA	A	[15, 2, 4, 5, 8, 2*, 1, 16, 6, 3, 1*]
ADRIANA	F	[11, 7, 12, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
ELISA	F	[9, 11, 7, 12, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
EUGENIA	F	[11, 12, 17, 2, 4, 5, 8, 19, 2*, 18, 1, 16, 6, 3, 1*]
VANESA	F	[11, 12, 2, 4, 5, 1, 6, 3, 1*]
VIRGINIA	F	[11, 7, 12, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
GEMA	F	[7, 12, 2, 4, 5, 1, 6, 3, 1*]
JOSEFINA	F	[12, 17, 4, 5, 8, 5*, 18, 1, 4*, 16, 6, 3, 1*]
PURIFICACION	F	[9, 11, 7, 12, 4, 5, 18, 1, 16, 6, 3, 1*]
DIANA	F	[9, 11, 7, 12, 15, 2, 4, 5, 8, 19, 18, 1, 6, 3, 1*]
ANTONIO JOSE	M	[1]
JOSE JAVIER	M	[1, 2]
IZAN	M	[1, 2, 8, 1*]
JUAN MIGUEL	M	[1, 2]
ANTONIO JESUS	M	[1]
MOHAMMED	M	[1, 6, 2, 4, 5, 2*, 1*]
JESUS MARIA	A	[1]
FRANCISCO MANUEL	M	[1, 2]
ASIER	M	[10, 11, 2, 4, 5, 19, 1, 6, 3, 1*]
JAUME	M	[3, 1, 2, 15, 8, 1*]
ABEL	M	[9, 11, 7, 12, 2, 4, 5, 8, 19, 18, 1, 6, 3, 1*]
PEDRO JOSE	M	[18, 1]
JOSE VICENTE	M	[1]
UNAI	M	[10, 1, 11, 2, 12, 19, 8, 1*]
MIKEL	M	[10, 7, 2, 4, 5, 19, 1, 6, 3, 1*]
BRUNO	M	[11, 7, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
MOISES	M	[9, 11, 12, 17, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
SERGI	M	[15, 2, 4, 5, 8, 1, 6, 3, 1*]
AHMED	M	[11, 2, 4, 5, 2*, 1, 6, 3, 1*]
JUAN RAMON	M	[1, 2]
JUAN PEDRO	M	[1, 2]
IÑIGO	M	[9, 11, 12, 17, 2, 4, 5, 19, 18, 1, 6, 3, 1*]
MANUEL JESUS	M	[1]
GERARD	M	[15, 2, 4, 5, 8, 1, 6, 3, 1*]
JON	M	[10, 7, 4, 5, 19, 1, 6, 2, 19*, 1*]
POL	A	[7, 15, 2, 4, 8, 2*, 1, 3, 1*]
OMAR	M	[9, 11, 7, 12, 2, 4, 5, 1, 6, 3, 1*]
ERNESTO	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ISIDRO	M	[9, 11, 12, 15, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
ARNAU	M	[3, 1, 2, 15, 8, 1*]
MIQUEL	M	[15, 2, 8, 2*, 18, 1, 16, 3, 1*]
BENITO	M	[11, 12, 17, 4, 5, 19, 18, 1, 16, 6, 3, 18*, 1*]
ISRAEL	M	[9, 11, 7, 12, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
ORIOL	A	[12, 15, 2, 2*, 8, 1, 3, 1*]
LEO	A	[1, 11, 6, 2, 4, 5, 1*]
ANTONIO MANUEL	M	[1, 2]
BERNARDO	M	[11, 7, 12, 15, 17, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
GERARDO	M	[11, 7, 12, 15, 17, 4, 5, 18, 1, 16, 6, 3, 1*]
ELOY	M	[7, 12, 17, 2, 4, 5, 18, 1, 6, 3, 1*]
JONATAN	M	[1, 6, 2, 12, 4, 5, 1*]
CARMELO	M	[9, 11, 7, 17, 4, 5, 18, 1, 6, 3, 1*]
FEDERICO	M	[11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ADAM	M	[11, 2, 4, 5, 8, 19, 1, 6, 3, 1*]
FRANCESC	M	[15, 2, 2*, 8, 18, 1, 3, 1*]
PASCUAL	M	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
JOSE ALBERTO	M	[1]
JESUS MANUEL	M	[1]
LUIS ALBERTO	M	[1]
JUAN JESUS	M	[1]
ADRIA	A	[7, 15, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
ROGER	M	[7, 2, 4, 5, 8, 1, 6, 3, 1*]
ALONSO	M	[11, 12, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
JOSEP MARIA	M	[1, 2]
BARTOLOME	M	[11, 7, 12, 15, 17, 4, 5, 19, 18, 1, 16, 6, 1*]
IÑAKI	M	[10, 11, 12, 2, 4, 5, 19, 1, 6, 3, 1*]
KEVIN	M	[11, 4, 5, 2*, 18, 1, 6, 2, 1*]
ELIAS	M	[9, 11, 7, 12, 2, 4, 5, 19, 18, 1, 16, 6, 3, 18*, 1*]
OLIVER	M	[9, 11, 2, 4, 5, 8, 1, 6, 3, 1*]
BENJAMIN	M	[11, 7, 12, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
SAUL	M	[9, 11, 7, 12, 2, 4, 5, 1, 6, 3, 1*]
CARLES	M	[15, 2, 5, 8, 2*, 1, 6, 3, 1*]
MATIAS	A	[9, 11, 12, 15, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
